,2015,2016,2017,2018
Columbia,"2,474,633","2,526,365","2,699,274","2,785,286"
Crawford,"661,146","672,550","668,927","694,502"
Dane,"38,545,541","40,005,328","40,271,291","41,137,645"
Dodge,"3,280,737","3,125,078","3,232,668","3,279,690"
Door,"1,135,863","1,144,774","1,152,538","1,176,247"
Douglas,"1,803,681","1,753,599","1,753,087","1,823,784"
Dunn,"1,604,214","1,607,784","1,648,020","1,730,099"
Eau Claire,"5,511,454","5,638,771","5,712,055","5,920,257"
Florence,"130,832","117,216","120,421","123,557"
Fond du Lac,"4,576,038","4,624,499","4,721,376","4,779,555"
Forest,"282,427","281,974","283,508","289,465"
Grant,"2,038,854","2,021,153","2,055,224","2,046,365"
Green,"1,453,046","1,448,958","1,453,343","1,516,933"
Green Lake,"665,084","607,216","618,627","656,023"
Iowa,"1,080,713","1,041,617","1,067,625","1,088,546"
Iron,"175,452","177,025","175,834","177,133"
Jackson,"841,067","755,038","794,216","906,727"
Jefferson,"3,748,871","3,835,035","3,955,819","4,134,695"
Juneau,"772,263","767,342","763,776","793,332"
Kenosha,"5,922,390","6,120,119","6,181,212","6,141,725"
Kewaunee,"751,308","799,292","829,693","789,369"
La Crosse,"6,359,555","6,170,969","6,297,477","6,470,471"
Lafayette,"657,093","675,702","652,462","664,321"
Langlade,"693,013","671,690","699,023","673,616"
Lincoln,"1,014,957","1,054,773","1,031,139","1,051,336"
Manitowoc,"3,878,136","3,914,771","3,911,605","3,885,280"
Marathon,"7,626,366","7,668,190","7,876,207","8,056,817"
Marinette,"1,905,560","1,892,890","1,892,254","1,941,011"
Marquette,"340,192","341,799","357,576","388,971"
Menominee,"162,549","154,987","156,488","160,543"
Milwaukee,"52,404,742","52,747,636","53,251,470","54,269,233"
Monroe,"1,963,544","1,866,775","2,012,966","2,247,621"
Oconto,"946,675","1,056,035","1,014,070","926,345"
Oneida,"1,441,718","1,440,977","1,451,053","1,479,908"
Outagamie,"9,644,027","9,892,170","10,030,486","10,245,306"
Ozaukee,"4,386,429","4,530,572","4,573,159","4,642,718"
Pepin,"220,712","224,328","223,411","256,192"
Pierce,"1,104,280","1,043,701","1,019,475","1,092,486"
Polk,"1,437,432","1,398,111","1,408,855","1,481,142"
Portage,"3,248,563","3,319,944","3,423,285","3,414,812"
Price,"531,722","540,294","532,534","512,616"
Racine,"7,958,049","8,059,225","8,206,941","8,450,197"
Richland,"677,355","688,913","666,299","672,473"
Rock,"6,424,849","6,574,748","6,634,276","7,013,004"
Rusk,"492,019","508,721","535,659","513,247"
St. Croix,"2,729,363","2,837,701","2,896,186","3,031,736"
Sauk,"3,214,705","3,133,973","3,206,207","3,338,082"
Sawyer,"576,382","582,465","592,444","616,462"
Shawano,"1,198,245","1,225,289","1,228,265","1,138,025"
Sheboygan,"6,204,909","6,412,720","6,619,831","6,700,198"
Taylor,"834,181","840,499","812,308","816,893"
Trempealeau,"1,205,901","1,205,737","1,247,607","1,351,653"
Vernon,"954,011","917,823","945,748","932,889"
Vilas,"749,074","784,319","814,724","827,015"
Walworth,"3,661,219","3,691,573","3,730,540","3,859,338"
Washburn,"515,058","515,769","520,085","517,270"
Washington,"5,350,307","5,349,763","5,502,837","5,636,773"
Waukesha,"26,285,446","26,590,180","27,160,073","28,028,503"
Waupaca,"1,906,024","1,924,481","1,885,961","1,866,523"
Waushara,"573,189","541,106","561,708","560,152"
Winnebago,"8,922,124","9,094,803","9,131,319","9,274,302"
Wood,"3,532,651","3,711,017","3,644,091","3,744,448"
,,,,
Wyoming,"39,722,980","38,052,902","37,997,098","38,040,029"
Albany,"1,471,859","1,459,455","1,501,425","1,411,472"
Big Horn,"534,607","481,940","496,806","504,665"
Campbell,"6,385,320","6,315,849","6,372,783","6,204,761"
Carbon,"1,530,781","1,290,475","1,319,996","1,324,296"
Converse,"1,357,388","1,318,663","1,291,753","1,502,510"
Crook,"284,537","262,476","267,750","307,546"
Fremont,"1,742,059","1,668,979","1,609,083","1,595,939"
Goshen,"577,899","609,948","592,832","604,466"
Hot Springs,"271,763","252,722","241,635","246,487"
Johnson,"545,560","477,812","463,211","439,009"
Laramie,"5,231,683","5,074,488","5,193,647","5,236,630"
Lincoln,"753,959","781,681","781,089","793,275"
Natrona,"5,831,864","5,176,638","5,010,582","5,171,022"
Niobrara,"133,681","121,138","111,780","132,175"
Park,"1,356,930","1,345,257","1,329,220","1,346,302"
Platte,"567,865","563,897","562,111","535,625"
Sheridan,"1,244,991","1,236,459","1,220,697","1,252,386"
Sublette,"2,091,659","1,939,614","1,967,659","1,684,220"
Sweetwater,"4,037,540","3,961,894","3,959,441","3,836,603"
Teton,"1,980,818","2,019,964","2,078,477","2,166,420"
Uinta,"981,530","938,876","904,458","906,587"
Washakie,"405,382","366,053","353,860","358,104"
Weston,"387,259","321,664","306,033","315,885"
"1. Virginia combination areas consist of one or two independent cities with populations of less than 100,000 combined with an adjacent county. The county name appears first, followed by the city name(s). Separate estimates for the jurisdictions making up the combination areas are not available.",,,,
Source: U.S. Bureau of Economic Analysis,,,,
